station_name,system,latitude,longitude,distance_to_kremlin_km,osm_type,osm_id,railway,public_transport,station_tag
Авиамоторная,metro,55.7539271,37.718992,6.355,node,7340764980,station,station,subway
Автозаводская,mcd,55.706266,37.6626114,5.819,relation,6604095,facility,stop_area,
Академическая,metro,55.6878077,37.5735148,7.653,node,282413851,station,station,subway
Александровский сад,metro,55.7524027,37.6086825,0.553,node,253228506,station,station,subway
Алексеевская,metro,55.8090891,37.6390056,6.486,node,5202107562,station,station,subway
Алма-Атинская,metro,55.6327995,37.765935,16.196,node,2080924763,station,station,subway
Алтуфьево,metro,55.8979224,37.5873584,16.332,node,296957238,station,station,subway
Аминьевская,mcd,55.6980283,37.4696642,11.034,node,87702773,stop,stop_position,
Андроновка,mcd,55.7470069,37.7379068,7.556,relation,6604096,facility,stop_area,
Аникеевка,mcd,55.8320233,37.2200313,26.391,node,253438572,stop,stop_position,
Аннино,metro,55.5825315,37.5965311,18.892,node,296953140,station,station,subway
Апрелевка,mcd,55.5501343,37.0668123,41.202,node,420464922,stop,stop_position,
Арбатская,metro,55.7519737,37.6011599,1.022,relation,1407470,,stop_area,
Аэропорт,metro,55.8003966,37.5331501,7.534,node,266835847,station,station,subway
Аэропорт Внуково,metro,55.607309,37.2872762,26.221,node,11171729958,station,station,subway
Бабушкинская,metro,55.8696342,37.6641097,13.398,node,60660469,station,station,subway
Багратионовская,metro,55.7437275,37.4977375,7.552,relation,1463424,,stop_area,
Баковка,mcd,55.6826106,37.3146373,20.479,node,1994671348,stop,stop_position,
Балтийская,mcd,55.8254982,37.4957255,11.167,relation,6604119,facility,stop_area,
Баррикадная,metro,55.7611309,37.5793093,2.595,node,296959510,station,station,subway
Бауманская,metro,55.7730392,37.6805494,4.585,node,242546356,station,station,subway
Беговая,metro,55.7737161,37.5466565,5.046,node,296959508,station,station,subway
Белокаменная,mcd,55.8294535,37.7021926,10.108,relation,6604087,facility,stop_area,
Беломорская,metro,55.8649644,37.4748773,15.399,node,6147634222,station,station,subway
Белорусская,metro,55.7761384,37.5840675,3.401,node,1158396469,station,station,subway
Беляево,metro,55.6427774,37.5256804,13.441,node,282416839,station,station,subway
Бескудниково,mcd,55.8825159,37.5676437,14.841,node,1994411885,stop,stop_position,
Бибирево,metro,55.8838707,37.6035539,14.687,node,296957239,station,station,subway
Библиотека имени Ленина,metro,55.7512323,37.6101708,0.467,node,278692958,station,station,subway
Битца,mcd,55.5712944,37.6115381,20.1,node,1990631972,stop,stop_position,
Битцевский парк,metro,55.6002393,37.5563789,17.307,node,2591402980,station,station,subway
Борисово,metro,55.6333039,37.7437524,15.391,node,1527999919,station,station,subway
Боровицкая,metro,55.7509718,37.607057,0.664,node,296953128,station,station,subway
Боровское шоссе,metro,55.6477505,37.3704228,19.342,node,5868122988,station,station,subway
Ботанический сад,metro,55.8448445,37.6382462,10.402,node,268521591,station,station,subway
Братиславская,metro,55.659739,37.7506688,13.225,node,333159878,station,station,subway
Бульвар Адмирала Ушакова,metro,55.5454337,37.5432114,23.44,node,296932668,station,station,subway
Бульвар Дмитрия Донского,metro,55.5692452,37.5768693,20.483,node,309741697,station,station,subway
Бульвар Рокоссовского,metro,55.8146824,37.73434,10.096,node,265949954,station,station,subway
Бунинская аллея,metro,55.5381467,37.5165467,24.611,node,296932673,station,station,subway
Бутово,mcd,55.5413497,37.5705273,23.61,node,1990631974,stop,stop_position,
Бутырская,metro,55.8133726,37.6025285,6.886,node,4847996860,station,station,subway
Быково,mcd,55.6266603,38.0713874,31.68,node,1994609590,stop,stop_position,
ВДНХ,metro,55.8209553,37.6412006,7.807,node,5202107574,station,station,subway
Вавиловская,metro,55.6848912,37.5408941,8.874,node,13143504742,station,station,subway
Варшавская,metro,55.6533344,37.6195024,10.974,node,10702113003,station,station,subway
Верхние Лихоборы,metro,55.8561131,37.5613445,12.095,node,5482407019,station,station,subway
Вешняки,mcd,55.7221066,37.7990494,11.842,node,1994609591,stop,stop_position,
Владыкино,mcd,55.8473295,37.5912752,10.724,relation,6604129,facility,stop_area,
Внуково,mcd,55.6490256,37.2695208,24.629,node,11164979112,stop,stop_position,
Водники,mcd,55.9526356,37.5123561,23.252,node,1994411892,stop,stop_position,
Водный стадион,metro,55.8400589,37.4867105,12.754,node,266835844,station,station,subway
Войковская,metro,55.819052,37.4980181,10.553,node,266835845,station,station,subway
Волгоградский проспект,metro,55.7252386,37.6868906,5.267,node,253016892,station,station,subway
Волжская,metro,55.6908257,37.7531007,10.882,node,296949283,station,station,subway
Волоколамская,mcd,55.8320853,37.3824727,17.179,node,7001069102,stop,stop_position,
