Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation,station_name,distance_to_kremlin_km,PricePerM2,RelativeFloor,IsFirstFloor,IsLastFloor,RoomsCat
11000000.0,Secondary,Некрасовка,17.0,Moscow,1.0,37.5,19.0,8.0,3.0,17,Cosmetic,Некрасовка,20.206,293333.3333333333,0.17647058823529413,0,0,1
10800000.0,Secondary,Прокшино,13.0,Moscow,1.0,33.8,15.2,12.0,15.0,18,Without renovation,Прокшино,21.738,319526.62721893494,0.8333333333333334,0,0,1
11950000.0,Secondary,Люблино,12.0,Moscow,1.0,42.0,21.0,8.5,11.0,14,European-style renovation,Люблино,10.401,284523.8095238095,0.7857142857142857,0,0,1
12500000.0,Secondary,Кунцевская,15.0,Moscow,1.0,39.8,18.5,9.0,1.0,16,Cosmetic,Кунцевская,10.827,314070.351758794,0.0625,1,0,1
38400000.0,Secondary,Серпуховская,10.0,Moscow,1.0,54.1,22.3,12.7,13.0,14,Without renovation,Серпуховская,2.716,709796.6728280961,0.9285714285714286,0,0,1
8500000.0,Secondary,Пятницкое шоссе,35.0,Moscow,1.0,36.7,16.0,12.0,4.0,24,Cosmetic,Пятницкое шоссе,20.119,231607.6294277929,0.16666666666666666,0,0,1
19350000.0,Secondary,Коптево,13.0,Moscow,1.0,36.2,10.0,14.0,13.0,20,Designer,Коптево,11.491,534530.3867403314,0.65,0,0,1
11000000.0,Secondary,Лесопарковая,10.0,Moscow,1.0,35.0,16.0,11.5,13.0,26,Cosmetic,Лесопарковая,19.066,314285.71428571426,0.5,0,0,1
11700000.0,Secondary,Коммунарка,24.0,Moscow,1.0,46.9,20.3,13.6,8.0,14,European-style renovation,Коммунарка,21.84,249466.95095948828,0.5714285714285714,0,0,1
13200000.0,Secondary,Говорово,15.0,Moscow,1.0,46.1,23.8,13.0,11.0,12,Without renovation,Говорово,16.222,286334.0563991323,0.9166666666666666,0,0,1
11500000.0,Secondary,Сетунь,23.0,Moscow,1.0,38.9,21.0,9.0,12.0,12,European-style renovation,Сетунь,14.171,295629.8200514139,1.0,0,1,1
8500000.0,Secondary,Щербинка,36.0,Moscow,1.0,43.8,17.0,12.0,9.0,22,Cosmetic,Щербинка,27.09,194063.92694063927,0.4090909090909091,0,0,1
9700000.0,Secondary,Бибирево,10.0,Moscow,1.0,35.0,15.0,10.0,19.0,20,European-style renovation,Бибирево,14.687,277142.85714285716,0.95,0,0,1
18000000.0,Secondary,Рассказовка,26.0,Moscow,1.0,44.8,18.2,13.5,1.0,12,Designer,Рассказовка,22.032,401785.7142857143,0.08333333333333333,1,0,1
10500000.0,Secondary,Лухмановская,26.0,Moscow,1.0,40.2,22.5,19.0,8.0,24,Cosmetic,Лухмановская,18.399,261194.02985074624,0.3333333333333333,0,0,1
15900000.0,Secondary,Коммунарка,30.0,Moscow,1.0,50.5,27.7,16.5,3.0,12,Cosmetic,Коммунарка,21.84,314851.48514851485,0.25,0,0,1
10950000.0,Secondary,Прокшино,13.0,Moscow,1.0,38.4,21.5,15.1,10.0,18,Cosmetic,Прокшино,21.738,285156.25,0.5555555555555556,0,0,1
17190000.0,Secondary,Сухаревская,8.0,Moscow,1.0,37.8,19.3,8.6,3.0,8,European-style renovation,Сухаревская,2.48,454761.9047619048,0.375,0,0,1
9250000.0,Secondary,Сетунь,17.0,Moscow,1.0,36.6,17.8,9.8,20.0,23,Cosmetic,Сетунь,14.171,252732.24043715847,0.8695652173913043,0,0,1
25000000.0,Secondary,Хорошёвская,6.0,Moscow,1.0,41.6,16.3,13.7,21.0,24,European-style renovation,Хорошёвская,6.737,600961.5384615385,0.875,0,0,1
18200000.0,Secondary,Китай-город,6.0,Moscow,1.0,30.0,17.0,10.0,1.0,8,European-style renovation,Китай-город,1.051,606666.6666666666,0.125,1,0,1
8500000.0,Secondary,Щербинка,26.0,Moscow,1.0,40.0,17.0,11.0,8.0,21,Cosmetic,Щербинка,27.09,212500.0,0.38095238095238093,0,0,1
14700000.0,Secondary,Прокшино,23.0,Moscow,1.0,46.7,27.1,8.2,7.0,12,European-style renovation,Прокшино,21.738,314775.1605995717,0.5833333333333334,0,0,1
9200000.0,Secondary,Покровское,32.0,Moscow,1.0,40.6,22.7,10.0,5.0,18,Cosmetic,Покровское,16.621,226600.98522167487,0.2777777777777778,0,0,1
